price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
18000000,ready to move,1800,10000,3 bhk independent floor in vatika vatika independent floors,sector 82,property in gurgaon,not approved by rera,3,vatika vatika independent floors,vatika,floor,value-mid,1.8
18000000,ready to move,1850,9729,3 bhk independent floor,sector 82,properties for sale in gurgaon,not approved by rera,3,outside socity,outside,plot,value-mid,1.8
19000000,ready to move,2250,8444,3 bhk independent floor in navraj the antalya,sector 37d,turnkey reality,not approved by rera,3,navraj the antalya,navraj,floor,value-mid,1.9
13500000,ready to move,1250,10800,2 bhk apartment in shree vardhman shree vardhman victoria,sector 70,turnkey reality,not approved by rera,2,shree vardhman shree vardhman victoria,shree,apartment,value-mid,1.35
19300000,ready to move,1800,10767,3 bhk independent floor in cbs luxury builder floors,sector 63,turnkey reality,not approved by rera,3,cbs luxury builder floors,cbs,floor,value-mid,1.93
41000000,under construction,2080,19711,4 bhk independent floor in adani brahma samsara vilasa,sector 63,turnkey reality,approved by rera,4,adani brahma samsara vilasa,adani,floor,premium,4.1
24000000,under construction,1900,12631,4 bhk apartment in emaar palm drive,sector 66,turnkey reality,approved by rera,4,emaar palm drive,emaar,apartment,premium,2.4
23500000,under construction,1900,12368,4 bhk apartment in emaar palm drive,sector 66,turnkey reality,approved by rera,4,emaar palm drive,emaar,apartment,premium,2.35
27000000,ready to move,1608,16791,2 bhk apartment in emaar digi homes,sector 62,turnkey reality,not approved by rera,2,emaar digi homes,emaar,apartment,premium,2.7
18000000,ready to move,1950,9230,3 bhk apartment in shree vardhman shree vardhman victoria,sector 70,turnkey reality,not approved by rera,3,shree vardhman shree vardhman victoria,shree,apartment,value-mid,1.8
22000000,ready to move,1700,12941,3 bhk independent floor in anant raj the estate floors,sector 63,turnkey reality,not approved by rera,3,anant raj the estate floors,anant,floor,value-mid,2.2
27500000,ready to move,2150,12790,3 bhk independent floor in eros rosewood city,sector 49,home,not approved by rera,3,eros rosewood city,eros,floor,premium,2.75
26000000,ready to move,2100,12380,3 bhk independent floor in aipl the peaceful homes,sector 70a,property in gurgaon,not approved by rera,3,aipl the peaceful homes,aipl,floor,premium,2.6
57500000,under construction,2945,19524,3 bhk apartment in smart smartworld the edition,sector 66,properties for sale in gurgaon,approved by rera,3,smart smartworld the edition,smart,apartment,ultra-luxury,5.75
16000000,ready to move,2100,7619,3 bhk independent floor in ansal palam vihar plot,palam vihar extension,banjara,not approved by rera,3,ansal palam vihar plot,ansal,floor,value-mid,1.6
